,index,events,error_star,error_star_integral,market_price,blockheight,timedelta,cumulative_time,timestamp,cdps,eth_price,eth_collateral,eth_locked,eth_freed,eth_bitten,v_1,v_2,v_3,principal_debt,rai_drawn,rai_wiped,rai_bitten,u_1,u_2,u_3,accrued_interest,system_revenue,stability_fee,interest_dripped,interest_wiped,interest_bitten,w_1,w_2,w_3,target_price,target_rate,p_expected,eth_return,eth_gross_return,optimal_values,beta,Q,v_2 + v_3,D_1,u_2 + u_3,D_2,w_2 + w_3,D,simulation,subset,run,substep,timestep,eth_collateral_value,collateralization_ratio,locked - freed - bitten,drawn - wiped - bitten
0,0,,0.0,0.0,1.01760484160946,0,0.0,0.0,2017-12-18,,736.004090277778,2425.6619999999994,2526.6619999999994,0.0,101.0,2526.6619999999994,0.0,101.0,595296.0830293334,595342.0268693233,10.0,35.94383999,595342.0268693233,10.0,35.94383999,0.0,0,1.5854895991882293e-10,0,0,0,0.0,6.2764756553528835e-06,2.256006366571345e-05,1.0,0.0,1.0,0.0,0.0,{},0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,0,0,1785297.1536313752,2.999007056364932,2425.6619999999994,595296.0830293334
1,14,,-0.017604841609460076,-760.5291575286752,1.0064836495201137,0,86400.0,86400.0,2017-12-19,,832.236972222222,106473.39801562359,114987.68508735305,8413.287071729455,101.0,112461.02308735305,8413.287071729455,0.0,6173721.200191266,6196073.353693095,22316.209661839537,35.94383999,5600731.326823772,22306.209661839537,0.0,84.57209818362465,0,1.5854895991882293e-10,0,0,0,84.87829414863091,0.0,0.0,1.0,0.0,1.0043275924442232,0.13075047165583603,1.0,"{'u_1': 5600731.326823772, 'u_2': 22306.209661839537, 'v_1': 112461.02308735304, 'v_2 + v_3': 8413.287071729455}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,1,88611098.38673411,14.35294784351274,106473.39801562359,6173721.200191266
2,28,,-0.00648364952011371,-1729.6228167975876,1.00329993473084,0,86400.0,172800.0,2017-12-20,,810.287506944444,271647.4155627199,281202.1857873203,9453.770224600416,101.0,166214.50069996726,1040.48315287096,0.0,13296757.469547492,13326254.591469288,29461.17808180678,35.94383999,7130181.237776193,7144.968419967241,0.0,266.72185749626857,0,1.5854895991882293e-10,0,0,0,97.67554226857393,0.0,0.0,1.0,0.0,1.0005393747234315,-0.02637405692175512,1.0,"{'u_1': 7130181.237776194, 'u_2': 7144.96841996724, 'v_1': 166214.50069996726, 'v_2 + v_3': 1040.4831528709603}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,2,220112507.1242177,16.55384838208292,271647.4155627199,13296757.469547492
3,42,,-0.003299934730840004,-1988.6508396412005,1.0026744790694126,0,86400.0,259200.0,2017-12-21,,837.2310798611121,436883.3470807331,447417.0694288842,10432.722348151083,101.0,166214.88364156388,978.9521235506672,0.0,20346782.11341528,20456433.690414697,109615.63315942747,35.94383999,7130179.098945409,80154.45507762069,0.0,545.4504485752411,0,1.5854895991882293e-10,0,0,0,97.6756882752833,0.0,0.0,1.0,0.0,0.9996177558032322,0.033251867621988986,1.0,"{'u_1': 7130179.098945405, 'u_2': 80154.45507762069, 'v_1': 166214.8836415639, 'v_2 + v_3': 978.9521235506671}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,3,365772316.4497392,17.976912241497583,436883.3470807331,20346782.11341528
4,56,,-0.0026744790694126497,-2059.0946761709147,0.9998416128454078,0,86400.0,345600.0,2017-12-22,,689.014989583333,602282.64983307,613616.4705955447,11232.820762474708,101.0,166199.40116666048,800.0984143236255,0.0,27475305.31545992,27586644.76074124,111303.50144133304,35.94383999,7130211.070326544,1687.8682819055684,0.0,921.8345244517226,0,1.5854895991882293e-10,0,0,0,97.67612624438584,0.0,0.0,1.0,0.0,0.9993138027574274,-0.17703128066192506,1.0,"{'u_1': 7130211.070326548, 'u_2': 1687.8682819055841, 'v_1': 166199.40116666045, 'v_2 + v_3': 800.0984143236249}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,4,414981773.7009549,15.103809363947313,602282.64983307,27475305.31545992
5,70,,0.00015838715459215447,-1973.6951707202454,0.9996804560460145,0,86400.0,432000.0,2017-12-23,,729.755027777778,608908.8636438391,621050.6762133288,12040.81256948967,101.0,7434.205617784173,807.9918070149615,0.0,34604656.64342027,34716842.503659956,112149.91639969405,35.94383999,7130197.742918715,846.4149583610124,0.0,1395.8867671489145,0,1.5854895991882293e-10,0,0,0,97.6759436819138,0.0,0.0,1.0,0.0,0.9989773210814589,0.059127941786987326,1.0,"{'u_1': 7130197.742918716, 'u_2': 846.4149583610023, 'v_1': 7434.205617784318, 'v_2 + v_3': 807.9918070149611}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,5,444354304.70254505,12.84088177152986,608908.8636438391,34604656.64342027
6,84,,0.0003195439539854794,-1767.3533761094461,0.9995854192909949,0,86400.0,518400.0,2017-12-24,,673.805625,657638.3143402657,670116.3180868812,16410.674030621652,8168.340568012252,49065.64187355235,4369.861461131983,8067.340568012252,41690822.55598359,41803073.30231724,112214.80249366109,5435855.39735734,7086230.798657283,64.88609396704123,5435819.45351735,1891.3551796229603,0,1.5854895991882293e-10,0,0,0,97.07365267754585,0.0,75.66071346363269,1.0,0.0,0.9987676146668084,-0.07666874587785025,1.0,"{'u_1': 7086230.798657281, 'u_2': 64.88609396704555, 'v_1': 49065.64187355224, 'v_2 + v_3': 336.1911771258582}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,6,443120395.4179892,10.628727577225296,645537.3034882473,36255003.10246624
7,98,,0.0004145807090051301,-1569.2858145588057,0.9992161053105141,0,86400.0,604800.0,2017-12-25,,753.689097222223,708669.2929033559,733275.0502779203,16437.416806552254,8168.340568012252,63158.73219103913,26.742775930601056,0.0,40335602.00133405,46278141.53587521,506684.1371838255,5435855.39735734,4475068.233557969,394469.3346901644,0.0,2443.927337970942,0,1.5854895991882293e-10,0,0,0,61.3040510701461,0.0,0.0,1.0,0.0,0.9989531761952106,0.1185556624319114,1.0,"{'u_1': 4475068.233557969, 'u_2': 394469.3346901644, 'v_1': 63158.73219103916, 'v_2 + v_3': 26.742775930601056}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,7,534116319.5974415,13.241808553638949,708669.2929033559,40335602.00133405
8,112,,0.00078389468948592,-1369.2258627851866,0.9986250377646111,0,86400.0,691200.0,2017-12-26,,771.4236423611121,751046.1143658919,780486.6072043614,21272.152270457198,8168.340568012252,47211.55692644103,4834.7354639049445,0.0,46279048.85831136,52802660.13047067,1087755.8748019673,5435855.39735734,6524518.594595462,581071.7376181418,0.0,3077.9246995348867,0,1.5854895991882293e-10,0,0,0,89.378414395866,0.0,0.0,1.0,0.0,0.9985246641373343,0.023530319337577064,1.0,"{'u_1': 6524518.594595462, 'u_2': 581071.7376181418, 'v_1': 47211.55692644099, 'v_2 + v_3': 4834.735463904944}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,8,579374729.1252967,12.519158094608192,751046.1143658919,46279048.85831136
9,126,[],0.0013749622353889102,-1146.7373808454074,0.998563660816656,0,86400.0,777600.0,2017-12-27,"           drawn     dripped         freed         locked      time  \
0   7.136380e+05    9.776064      0.000000    2526.662000       0.0   
1   5.523119e+06   75.660713  12446.957356   20514.297924   86400.0   
2   2.251333e+07  308.408132      0.000000   50118.308688   86400.0   
3   3.078440e+07  421.711427   1040.483153  166214.500700  172800.0   
4   0.000000e+00    0.000000    978.952124  166214.883642  259200.0   
5   0.000000e+00    0.000000    800.098414  165861.643250  345600.0   
6   0.000000e+00    0.000000    807.991807    8094.856392  432000.0   
7   0.000000e+00    0.000000    336.191177   90571.165491  518400.0   
8   0.000000e+00    0.000000     26.742776   63158.732191  604800.0   
9   0.000000e+00    0.000000   4834.735464   47211.556926  691200.0   
10  0.000000e+00    0.000000    735.032270   51985.369055  777600.0   

        u_bitten     v_bitten   w_bitten         wiped  
0   3.594384e+01   101.000000   0.000023  9.081727e+04  
1   5.435819e+06  8067.340568  75.660713  8.729942e+04  
2   0.000000e+00     0.000000   0.000000  1.482967e+06  
3   0.000000e+00     0.000000   0.000000  0.000000e+00  
4   0.000000e+00     0.000000   0.000000  0.000000e+00  
5   0.000000e+00     0.000000   0.000000  0.000000e+00  
6   0.000000e+00     0.000000   0.000000  0.000000e+00  
7   0.000000e+00     0.000000   0.000000  0.000000e+00  
8   0.000000e+00     0.000000   0.000000  0.000000e+00  
9   0.000000e+00     0.000000   0.000000  0.000000e+00  
10  0.000000e+00     0.000000   0.000000  0.000000e+00  ",770.245177083333,802296.451150872,832471.976259061,22007.184540176757,8168.340568012252,51985.369054699666,735.0322697195588,0.0,52437545.816862285,59534484.55401576,1661083.3397961417,5435855.39735734,6731824.423545092,573327.4649941744,0.0,3796.2942915638378,0,1.5854895991882293e-10,0,0,0,92.21862415902046,0.0,0.0,1.0,0.0,0.9982642944234761,-0.0015276499358667951,1.0,"{'u_1': 6731824.423545091, 'u_2': 573327.4649941744, 'v_1': 51985.36905469968, 'v_2 + v_3': 735.0322697195601}",0.005,2425.6619999999994,101.0,595296.0830293334,45.94383999,0.0,2.8836539321066332e-05,595296.0830293334,0,0,1,14,9,617964972.090033,11.78478058924174,802296.451150872,52437545.816862285
