,Buy_Sell_Samples
0,4.459077752725219e+20
1,4.557567775708767e+20
2,5.697759558367886e+20
3,1.3550308040498307e+18
4,1.5736812065031997e+19
5,7.82299358544056e+19
6,9.812781993344859e+20
7,8.148177880809654e+17
8,8.082374131407466e+18
9,3.175568385127378e+19
10,1.7006655370495436e+20
11,6.5595210041490055e+19
12,2.0047128769610066e+21
13,2.4435226109703e+20
14,3.794133807694859e+18
15,2.8569674242638954e+20
16,1.608478723686848e+19
17,3.7043302273500997e+21
18,2.1525280082868347e+18
19,1.757402679327252e+19
20,4.806443562563637e+18
21,2.286053482887171e+22
22,8.615509524486434e+19
23,1.7134459055188043e+21
24,5.058160754084782e+19
25,9.839635408833508e+21
26,5.616225896008136e+21
27,2.1985838430634377e+19
28,2.736717309252789e+21
29,2.397946362149055e+19
30,1.783761204437679e+20
31,8.954238373657643e+19
32,3.0465000849051615e+20
33,8.967580255713867e+19
34,2.331843324500135e+20
35,1.1703693114714171e+19
36,6.345754575138461e+20
37,3.3011283912270086e+22
38,2.5886177990959373e+20
39,7.764733893300196e+18
40,1.0968010316177202e+20
41,3.1173948036507808e+19
42,3.1749914964382613e+22
43,3.732691972969349e+20
44,1.7330996102231587e+22
45,3.93402924889115e+17
46,4.285545817308063e+21
47,6.4729672384354424e+16
48,2.2807467716241535e+19
49,8.081736387405499e+18
50,8.597032423299905e+20
51,1.9033634459393937e+20
52,2.580188432668174e+20
53,1.4008554207472144e+20
54,5.686155182510185e+21
55,2.3652381158736606e+22
56,8.363279978585744e+21
57,6.009021318838331e+22
58,2.3475447839333407e+20
59,7.130386119018426e+20
60,6.760309316932948e+20
61,2.570892652420431e+18
62,5.677398721879184e+17
63,2.494664948938011e+21
64,8.418249617190266e+19
65,5.690740739067054e+21
66,8.432880737122267e+20
67,6.833709575853338e+17
68,1.826543086678797e+20
69,6.456473987113457e+20
70,2.7202698448527344e+22
71,2.6734163975926645e+20
72,4.763174606840476e+21
73,3.3875555571119227e+18
74,5.742442640641969e+18
75,2.075724146495605e+20
76,8.967313922600592e+22
77,1.0588367673985805e+21
78,1.911224855790413e+19
79,1.8452159958288925e+20
80,7.812916717434683e+19
81,8.454113415231919e+19
82,1.022411668815283e+19
83,7.82095421549162e+19
84,9.19165953991255e+19
85,9.123969037890705e+20
86,1.253841330435067e+19
87,4.2085617121088124e+20
88,9.99874307701873e+18
89,2.0351289180532667e+20
90,2.9533884605148283e+18
91,2.705927066661649e+19
92,1.2803941273736027e+21
93,1.5023380088977126e+21
94,5.0561998650576994e+19
95,4.385104171981925e+17
96,2.8399384974035583e+20
97,3.466742872711708e+23
98,3.5329360282096038e+19
99,2.510483433121193e+21
100,3.964782153775978e+22
101,3.5757120879592356e+18
102,1.0175498962868859e+19
103,1.095605680377333e+19
104,5.127258632028374e+17
105,5.379597652658164e+21
106,1.891682569826079e+21
107,1.138091570411023e+21
108,1.0123227644027425e+21
109,2.3252026050552957e+17
110,6.674728178041935e+21
111,5.101692513498995e+20
112,3.619892607668311e+17
113,3.58397769712686e+20
114,2.917807122027666e+20
115,4.046538850135477e+18
116,5.2918019897167584e+20
117,4.330064167902663e+19
118,2.490423455726067e+20
119,3.3980068755421234e+22
120,1.4111861528152242e+24
121,4.838749367423664e+22
122,7.248359796583144e+20
123,5.942979677811502e+22
124,3.082598092411734e+21
125,3.082866849148618e+19
126,3.6750433367457124e+19
127,9.238491501767854e+18
128,6.262902255045622e+18
129,2.4479285853720887e+19
130,1.040153429030652e+18
131,7.2194535904175055e+19
132,6.589292791756961e+19
133,7.82821498745029e+20
134,8.109761376889238e+18
135,5.0678359702369255e+19
136,5.402570284001287e+18
137,2.253207904805949e+18
138,4.1151619828173625e+21
139,3.781610232048205e+18
140,3.970130497153381e+18
141,1.3038875697256507e+20
142,2.1760277387900893e+17
143,2.332052705138006e+21
144,5.008409300689583e+20
145,4.571688185947156e+19
146,2.9748608245883638e+19
147,3.901832095386169e+20
148,4.292081695632228e+19
149,8.576968542235105e+18
150,1.4053869721860575e+18
151,5.4940502415405724e+20
152,1.5270056184229737e+20
153,1.4263296935201612e+20
154,1.447164789806097e+19
155,1.9492674688963445e+19
156,3.8955041436857646e+18
157,2.3441119029904348e+21
158,1.3707916830985329e+18
159,1.3788587765771432e+19
160,2.633555553441525e+20
161,1.111036110352106e+21
162,4.2148289117434537e+18
163,2.7060118719469048e+19
164,1.2139640665151549e+17
165,4.144888382076401e+19
166,1.8805147725113e+19
167,2.0084949729526327e+22
168,1.404153563120393e+21
169,3.2659987675056497e+19
170,3.088296639409383e+19
171,3.6108773691618447e+18
172,9.068442186129379e+19
173,6.387280248414372e+18
174,2.5190671402962305e+20
175,2.08418984060439e+20
176,3.2782802437415068e+19
177,2.227788360276779e+20
178,1.6092334215672269e+22
179,8.680417110574367e+22
180,1.635347846180771e+19
181,4.59781213332176e+19
182,1.1910041168024628e+22
183,1.521470712259534e+17
184,5.912026531831221e+20
