,Liquidity_Samples
0,1.4805149430500544e+25
1,1.515141454889132e+25
2,1.5787462859491594e+25
3,1.5108860672947757e+25
4,1.510953496404815e+25
5,1.5436088270630046e+25
6,1.5041307434604722e+25
7,1.4854511050994602e+25
8,1.504584803247211e+25
9,1.5505249550561947e+25
10,1.4563484164903575e+25
11,1.4966146860140424e+25
12,1.5759471584999356e+25
13,1.5215558982107592e+25
14,1.483412204826738e+25
15,1.395466625741809e+25
16,1.461263362117593e+25
17,1.447455781483296e+25
18,1.446400632359459e+25
19,1.5441521865308184e+25
20,1.5465062971292965e+25
21,1.4999945317254324e+25
22,1.538287171796691e+25
23,1.4402171996701674e+25
24,1.3993179744989961e+25
25,1.4763615595006522e+25
26,1.4447030123984611e+25
27,1.526411631605567e+25
28,1.5282659962861988e+25
29,1.4339957933032322e+25
30,1.5560926788750942e+25
31,1.43703835361569e+25
32,1.4644215815329226e+25
33,1.4758841201497395e+25
34,1.5463023079291298e+25
35,1.5095348440987375e+25
36,1.4619371884429575e+25
37,1.4469324575784314e+25
38,1.5012035893451577e+25
39,1.4393087436232514e+25
40,1.5550389930001e+25
41,1.5384677235438347e+25
42,1.5397583456580244e+25
43,1.5462876410726475e+25
44,1.4658998262683358e+25
45,1.4575067497746506e+25
46,1.4934797140362614e+25
47,1.46054139312353e+25
48,1.4538450672735619e+25
49,1.4660877238784624e+25
50,1.4645422096845954e+25
51,1.5564469168681937e+25
52,1.4630325323055123e+25
53,1.4996223792430205e+25
54,1.503890116827462e+25
55,1.4557493654956107e+25
56,1.5027123326407647e+25
57,1.4835684754771516e+25
58,1.4754913904526467e+25
59,1.4785234063998576e+25
60,1.4806320532907847e+25
61,1.490045053077184e+25
62,1.5213964544143932e+25
63,1.4766860977480059e+25
64,1.5577360523715551e+25
65,1.4247512442108822e+25
66,1.4952564974258656e+25
67,1.45687262308365e+25
68,1.4638461347345423e+25
69,1.4765724497751547e+25
70,1.514586176161677e+25
71,1.5196755443862993e+25
72,1.490027238891761e+25
73,1.4969120434757202e+25
74,1.4917286478249527e+25
75,1.4436671403059435e+25
76,1.4348900325994858e+25
77,1.5127520746032328e+25
78,1.525387758352558e+25
79,1.4944117637785332e+25
80,1.490203228150547e+25
81,1.4506529650806508e+25
82,1.4955690633817013e+25
83,1.5557852143290018e+25
84,1.5542823133844098e+25
85,1.467925081513716e+25
86,1.4907096091065883e+25
87,1.5208274227158518e+25
88,1.4029578417031792e+25
89,1.5077458167237334e+25
90,1.5012416684425757e+25
91,1.4908988205964556e+25
92,1.5046223879417789e+25
93,1.4342157033863891e+25
94,1.473525135443712e+25
95,1.476210159770161e+25
96,1.42896473368003e+25
97,1.426215596592478e+25
98,1.4838831053425195e+25
99,1.526118633271204e+25
100,1.5375098950116687e+25
101,1.495082526992484e+25
102,1.530106400553272e+25
103,1.476670840377533e+25
104,1.4791803388598295e+25
105,1.5292517415628053e+25
106,1.5342182107150123e+25
107,1.4941121287891889e+25
108,1.5627166381185154e+25
109,1.483049913507712e+25
110,1.4077711098158668e+25
111,1.3952316556388398e+25
112,1.4938857419346402e+25
113,1.4883780866248367e+25
114,1.376518732662988e+25
115,1.5266055434480385e+25
116,1.545813836139306e+25
117,1.505754991695918e+25
118,1.4357423316776808e+25
119,1.512008811874364e+25
120,1.54399957889219e+25
121,1.459192270497969e+25
122,1.537105551666091e+25
123,1.4851026557370873e+25
124,1.4877627361063723e+25
125,1.4747725860838298e+25
126,1.5033257606506618e+25
127,1.4637930750808366e+25
128,1.499713326273701e+25
129,1.5407656646725033e+25
130,1.5484286730895274e+25
131,1.4780495467467929e+25
132,1.4569726506936696e+25
133,1.478754429044025e+25
134,1.4617286361702127e+25
135,1.4395040697604591e+25
136,1.5112466310561395e+25
137,1.5423187086998722e+25
138,1.4223112594634329e+25
139,1.494113620955247e+25
140,1.4988854704436087e+25
141,1.560714728595163e+25
142,1.5695731966243593e+25
143,1.4780792222849043e+25
144,1.4371092417427025e+25
145,1.4584048679898762e+25
146,1.5255430895243793e+25
147,1.5525048206680082e+25
148,1.4860877454003958e+25
149,1.461267085654847e+25
150,1.537666178393493e+25
151,1.508115408271622e+25
152,1.4568028391705177e+25
153,1.4951495694643057e+25
154,1.5397999187992044e+25
155,1.5394376721709443e+25
156,1.4631203069642722e+25
157,1.4792535149071637e+25
158,1.53341577185611e+25
159,1.4479661419769084e+25
160,1.5233041131514858e+25
161,1.5571517489539908e+25
162,1.5274816927403034e+25
163,1.486991546302781e+25
164,1.462528520613715e+25
165,1.5128471234142471e+25
166,1.488256714141505e+25
167,1.53855050454719e+25
168,1.4964235396494938e+25
169,1.4792292571137585e+25
170,1.5181144106133985e+25
171,1.49820273968813e+25
172,1.425674697602429e+25
173,1.5177492715546974e+25
174,1.5072370852606523e+25
175,1.513327405358086e+25
176,1.5707053008910191e+25
177,1.5472720778795868e+25
178,1.4578569611178212e+25
179,1.48022146777869e+25
180,1.4860966235672497e+25
